Action ID	Label	Description	Context Categories	Source Origins	Notes
action-drive-with-music-and-no-destination	Drive with music and no destination	novelty + togetherness	choice-privilege:1.00	reward|Rewards 100|59	Taylor can plan route.
action-drive-thru-surprise	Drive-thru surprise	Taylor drives somewhere and Jackie finds out on arrival	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|26	Pre-approved category/location range.
action-earn-release-by-completing-a-tiny-task	Earn release by completing a tiny task	Resolution + closure	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|51	Avoid open-ended or escalating demands.
action-eli5-challenge	ELI5 challenge	Learn something technical, then explain it without jargon — translation skill + constraint	accountability-structure:1.00	punishment|Cognitive 100|28	Safety/structure: Taylor judges clarity, not perfection.
action-executive-memo	Executive memo	Write Decision / Evidence / Risk / Next Step in 200 words — structured reasoning	accountability-structure:1.00	punishment|Cognitive 100|27	Safety/structure: Harmless hypothetical topic.
action-explain-it-to-three-audiences	Explain it to three audiences	Child / peer / executive versions — flexibility + format switching	accountability-structure:1.00	punishment|Cognitive 100|97	Safety/structure: Short versions.
action-explain-the-better-method-but-still-use-assigned-method	Explain the better method but still use assigned method	optimization denied after recognition	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|80	Safety/structure: Tiny harmless task.
action-explain-the-better-method-but-still-use-the-assigned-one	Explain the better method but still use the assigned one	Awareness + denied implementation — optimization frustration	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|78	Safety/structure: Makes the constraint explicit.
action-explain-what-happened-without-excuses	Explain what happened without excuses	Directness	playful-psychological:1.00	punishment|Creative Punishments|26	Behavior-focused, not adversarial.
action-explain-why-you-missed-a-requirement	Explain why you missed a requirement	Process diagnosis instead of immediate fixing — accountability	accountability-structure:1.00	punishment|Cognitive 100|89	Safety/structure: Focus on process, not blame.
action-extra-long-hello-goodbye-cuddle	Extra-long hello/goodbye cuddle	Exaggerated reunion cuddle despite WFH life	connection-attention:1.00	reward|Rewards Bonus|68	Comedically appropriate.
action-eye-contact-impact	Eye-contact impact	psychological intensity — harder to mentally detach	playful-psychological:1.00	punishment|Pain Batch 2|29	
action-eyes-forward-stance	Eyes-forward stance	stillness — composure	protocol-obedience:1.00	punishment|Creative Pain 100|67	Safety/structure: Low-risk ritual element.
action-face-splash-from-cupped-clean-water	Face splash from cupped clean water	sudden wet-face sensation	sensory-intensity:1.00	punishment|Sensory-Control 100|9	Safety/structure: Small amount only; no forced inhalation.
action-fact-inference-unknown-brief	Fact / inference / unknown brief	Research topic and separate each claim into those three buckets — epistemic discipline	accountability-structure:1.00	punishment|Cognitive 100|38	Safety/structure: Encourages precision, not shame.
action-fast-food-night	Fast food night	indulgence + convenience	choice-privilege:1.00	reward|Rewards 100|53	Already confirmed reward.
action-favorite-takeout-picnic-at-home	Favorite takeout picnic at home	comfort + novelty	choice-privilege:1.00	reward|Rewards 100|65	Floor blanket / living room counts.
action-favorite-memory-story	Favorite-memory story	Taylor chooses one memory and says why it matters	connection-attention:1.00	reward|Rewards Bonus|63	Specific emotional attention.
action-favorite-scent-environment-setup	Favorite-scent environment setup	Room prepared with a preferred scent/vibe	care-pampering:0.75;sensory-intensity:1.00	reward|Rewards Bonus|73	Use tolerated scents only.
action-find-the-hidden-assumption	Find the hidden assumption	Read a short scenario and identify the key unstated assumption — pattern recognition under timer	accountability-structure:1.00	punishment|Cognitive 100|39	Safety/structure: Fictional scenarios.
action-fingernail-pinch	Fingernail pinch	narrow sharp pressure — small but intense correction	sensory-intensity:1.00	punishment|Creative Pain 100|24	Safety/structure: Avoid breaking skin.
action-fingernail-pinches	Fingernail pinches	narrow, sharp pressure — precise and easy to pair with obedience	sensory-intensity:1.00	punishment|Pain Batch 2|8	
action-fingertips-lightly-coated-in-syrup-before-waiting-to-wash	Fingertips lightly coated in syrup before waiting to wash	sticky residue + delayed relief	sensory-intensity:1.00	punishment|Sensory-Control 100|43	Safety/structure: Tiny amount, short wait.
action-finish-a-normal-warm-shower-with-a-brief-cool-rinse	Finish a normal warm shower with a brief cool rinse	pleasant-to-aversive contrast	sensory-intensity:1.00	punishment|Sensory-Control 100|16	Safety/structure: No extreme temperatures.
action-firm-brush-strokes	Firm brush strokes	prickly sting — repetitive sensory correction	sensory-intensity:1.00	punishment|Creative Pain 100|30	Safety/structure: Use skin-safe brush, stop before irritation.
action-firm-brush-strokes-on-skin	Firm brush strokes on skin	prickly / stingy — can feel corrective rather than soothing	sensory-intensity:1.00	punishment|Pain Batch 2|21	
action-firm-grip-squeeze-on-fleshy-area	Firm grip squeeze on fleshy area	deep localized pressure — controlled discomfort	sensory-intensity:1.00	punishment|Creative Pain 100|38	Safety/structure: Avoid nerves/joints and numbness.
action-firm-pinching	Firm pinching	sharp localized pressure — precision + control	sensory-intensity:1.00	punishment|Creative Pain 100|22	Safety/structure: Avoid nerves, bruised skin, and fragile areas.
action-firm-pressure-massage-used-as-discipline	Firm pressure massage used as discipline	Intense sensation without impact	sensory-intensity:1.00	punishment|Creative Punishments|11	Avoid vulnerable areas.
action-five-sentence-hard-cap	Five-sentence hard cap	Explain something nuanced in exactly five sentences — constraint + external processing denial	accountability-structure:1.00	punishment|Cognitive 100|34	Safety/structure: Low-stakes topic.
action-flicking	Flicking	tiny sharp sting — annoyance + repetition	sensory-intensity:1.00	punishment|Creative Pain 100|28;punishment|Pain Batch 2|7	Safety/structure: Avoid face/eyes and vulnerable tissue.
action-fold-a-towel-halfway-and-leave-it	Fold a towel halfway and leave it	completion itch	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|83	Safety/structure: Short duration.
action-fold-laundry-one-item-at-a-time-with-a-pause-between-items	Fold laundry one item at a time with a pause between items	Deliberate inefficiency	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|65	Safety/structure: Small batch only.
action-follow-a-deliberately-over-specific-instruction-set	Follow a deliberately over-specific instruction set	Constraint + inefficiency	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|98	Safety/structure: No trick instructions.
action-follow-a-deliberately-verbose-checklist	Follow a deliberately verbose checklist	Cannot collapse steps — procedural annoyance	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|74	Safety/structure: Keep total task short.
action-follow-an-intentionally-inefficient-but-harmless-method	Follow an intentionally inefficient but harmless method	Systems-brain frustration	accountability-structure:0.75;playful-psychological:0.50;restraint-control:0.50	punishment|Nontraditional 100|82;punishment|Sensory-Control 100|67	Safety/structure: Never use for safety-critical or work tasks. | Safety/structure: Tiny low-stakes task.
action-follow-one-step-at-a-time-instructions-for-a-simple-task	Follow one-step-at-a-time instructions for a simple task	external pacing + submission	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|99	Safety/structure: Harmless task.
action-follow-spoken-instructions-without-seeing-the-full-list	Follow spoken instructions without seeing the full list	Information gating + precision — no preview / no optimization	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|56	Safety/structure: Only harmless tasks.
action-foot-massage	Foot massage	direct care + physical attention	care-pampering:1.00	reward|Rewards 100|3	Already confirmed reward.
action-forearm-plank-with-counting-task	Forearm plank with counting task	full-body burn — cognitive load	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|47	Safety/structure: Stop for sharp pain.
action-formal-3-minute-presentation-to-taylor	Formal 3-minute presentation to Taylor	Stand/sit in designated presentation spot and deliver the result — performance + authority framing	accountability-structure:1.00	punishment|Cognitive 100|82	Safety/structure: No humiliation; constructive tone.
action-formal-dismissal-after-acceptance	Formal dismissal after acceptance	Taylor says the assignment is complete and Jackie may stop refining — closure + authority	accountability-structure:1.00	punishment|Cognitive 100|101	Safety/structure: Explicitly marks 'done' as resolved.
action-formal-inspection-after-punishment	Formal inspection after punishment	vulnerability — closure + acknowledgment	playful-psychological:1.00;protocol-obedience:1.00	punishment|Creative Pain 100|97;punishment|Pain Batch 2|30	Safety/structure: Behavior-focused.
action-formal-kneel-wait-dismiss-ritual	Formal kneel-wait-dismiss ritual	pressure + stillness — clear disciplinary arc	protocol-obedience:1.00	punishment|Creative Pain 100|81	Safety/structure: Include explicit end/release.
action-formal-reward-acknowledgement	Formal reward acknowledgement	ritualized 'you earned this' moment	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|71	Distinct from baseline affection.
action-formal-start-and-release-phrase-for-punishment	Formal start-and-release phrase for punishment	ritual + containment	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|100	Safety/structure: Explicitly marks beginning/end.
action-formal-statement-that-punishment-is-complete	Formal statement that punishment is complete	relief — clear emotional closure	playful-psychological:1.00	punishment|Creative Pain 100|98	Safety/structure: Prevents lingering 'still in trouble' feeling.
action-fresh-clean-pajamas-fresh-bedding	Fresh clean pajamas + fresh bedding	whole-body sensory reset	sensory-intensity:1.00	reward|Rewards 100|85	Strong comfort reward.
action-fresh-favorite-blanket-pajamas-waiting	Fresh favorite blanket/pajamas waiting	Clean comfort items ready before Jackie asks	care-pampering:0.75;sensory-intensity:1.00	reward|Rewards Bonus|72	Anticipatory care.
action-fresh-sheets-shower-cuddle-setup	Fresh sheets + shower + cuddle setup	sensory reset + comfort	care-pampering:1.00	reward|Rewards 100|8	Strong 'everything feels right' reward.
action-full-you-do-nothing-pamper-hour	Full 'you do nothing' pamper hour	surrender of responsibility + care	care-pampering:1.00	reward|Rewards 100|21	Taylor decides the sequence from approved options.
action-full-tv-control-night	Full TV control night	Jackie picks what is watched without negotiation	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|24	Playful privilege.
action-give-a-confidence-score-with-each-conclusion	Give a confidence score with each conclusion	Forces uncertainty calibration — epistemic discipline	accountability-structure:1.00	punishment|Cognitive 100|95	Safety/structure: No punishment for low confidence.
action-gold-star-sticker-token	Gold-star / sticker token	visible progress marker	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|80	Cute low-stakes reinforcement.
action-guilt-free-hobby-block	Guilt-free hobby block	permission to disappear into interest	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|92	No chores attached.
action-hair-brushed-evenly-until-it-feels-right	Hair brushed evenly until it feels right	symmetry + care	sensory-intensity:1.00	reward|Rewards 100|84	Stop before scalp sensitivity.
action-hair-pulling-close-to-scalp	Hair pulling close to scalp	scalp tension — control + posture	sensory-intensity:1.00	punishment|Creative Pain 100|36	Safety/structure: Pull close to scalp, not from hair ends.
action-hair-tucked-behind-one-ear-only	Hair tucked behind one ear only	persistent asymmetry awareness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Sensory-Control 100|26	Safety/structure: Easy reset after.
action-hair-tucked-behind-only-one-ear	Hair tucked behind only one ear	Persistent 'wrong side' awareness	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|8	Safety/structure: Easy reset afterward.
action-hair-wash-scalp-massage	Hair wash + scalp massage	focused caretaking + sensory comfort	care-pampering:1.00	reward|Rewards 100|2	Taylor handles setup; use normal hair products.
action-hair-play-block	Hair-play block	Dedicated brushing/scalp-scratch/styling time	care-pampering:0.75;connection-attention:0.75	reward|Rewards Bonus|19	Pure care.
action-hair-pull-posture-cue	Hair-pull posture cue	scalp tension — physical guidance + obedience	sensory-intensity:1.00	punishment|Creative Pain 100|37	Safety/structure: No neck jerking.
action-hairline-rinse-with-water-allowed-to-run-over-face	Hairline rinse with water allowed to run over face	loss of control over water path	sensory-intensity:1.00	punishment|Sensory-Control 100|11	Safety/structure: Standing stable; no pressure over airway.
action-hand-massage	Hand massage	focused tending + touch	care-pampering:1.00	reward|Rewards 100|14	Good low-effort reward.
action-hand-spanking-with-counting	Hand spanking with counting	warm sting — counting + accountability	impact:1.00	punishment|Creative Pain 100|2	Safety/structure: Keep force moderate and away from joints/spine.
action-handle-a-cotton-ball-with-slightly-damp-fingertips	Handle a cotton ball with slightly damp fingertips	texture mismatch	sensory-intensity:1.00	punishment|Sensory-Control 100|49	Safety/structure: Clean materials.
action-handle-a-damp-sponge-with-bare-hands	Handle a damp sponge with bare hands	Wet compression	sensory-intensity:1.00	punishment|Nontraditional 100|44	Safety/structure: Clean sponge, room-temperature water.
action-handle-a-dry-cotton-ball-with-slightly-damp-fingertips	Handle a dry cotton ball with slightly damp fingertips	Texture mismatch	sensory-intensity:1.00	punishment|Nontraditional 100|57	Safety/structure: Clean materials only.
action-handle-a-peeled-tomato-or-similar-slippery-food	Handle a peeled tomato or similar slippery food	slippery + delicate texture	sensory-intensity:1.00	punishment|Sensory-Control 100|51	Safety/structure: Food-safe and contained.
action-handle-a-peeled-tomato-or-similarly-slippery-food	Handle a peeled tomato or similarly slippery food	Slippery skinless texture	sensory-intensity:1.00	punishment|Nontraditional 100|61	Safety/structure: Food-safe, contained surface.
action-handle-cooked-cooled-pasta-with-bare-hands	Handle cooked, cooled pasta with bare hands	Slippery + limp texture	sensory-intensity:1.00	punishment|Nontraditional 100|47	Safety/structure: Fresh, cooled food; no choking context.
action-handle-cooled-cooked-pasta	Handle cooled cooked pasta	slippery + limp texture	sensory-intensity:1.00	punishment|Sensory-Control 100|40	Safety/structure: Fresh/cooled only.
action-hands-on-head-hands-behind-back-posture	Hands-on-head / hands-behind-back posture	Visible submission	protocol-obedience:1.00	punishment|Creative Punishments|16	Avoid painful shoulder positions.
action-hands-on-head-posture	Hands-on-head posture	mild shoulder fatigue — visible submission	protocol-obedience:1.00	punishment|Creative Pain 100|65	Safety/structure: Short intervals.
action-head-in-lap-hair-play	Head-in-lap hair play	care + physical closeness	care-pampering:1.00	reward|Rewards 100|11	Low effort, high emotional value.
action-headphones-recording	Headphones + recording	Isolation + immersion	sensory-intensity:1.00	punishment|Creative Punishments|36	Ensure an immediate stop signal is still available.
action-headphones-with-non-startling-audio-during-posture-hold	Headphones with non-startling audio during posture hold	isolation + focus — immersion	playful-psychological:1.00	punishment|Creative Pain 100|95	Safety/structure: Do not block emergency communication.
action-hidden-note	Hidden note	Taylor hides an affectionate note for Jackie to find later	connection-attention:1.00	reward|Rewards Bonus|66	Delayed surprise.
action-hidden-timer-with-known-maximum	Hidden timer with known maximum	uncertainty — bounded anticipation	playful-psychological:1.00	punishment|Creative Pain 100|83	Safety/structure: Maximum explicit beforehand.
action-hold-a-book-overhead	Hold a book overhead	Awkward endurance	sensory-intensity:1.00	punishment|Creative Punishments|5	Stop for numbness, sharp pain, or joint strain.
action-hold-a-food-safe-gelatin-cube-until-released	Hold a food-safe gelatin cube until released	Cold-ish wobble + wetness	sensory-intensity:1.00	punishment|Nontraditional 100|49	Safety/structure: Room-temp if cold is pleasant rather than punitive.
action-hold-a-light-object-in-outstretched-hands	Hold a light object in outstretched hands	arm burn — precision + endurance	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|58	Safety/structure: Lightweight only.
action-hold-a-soft-makeup-sponge-coated-in-plain-water	Hold a soft makeup sponge coated in plain water	Wet porous texture	sensory-intensity:1.00	punishment|Nontraditional 100|58	Safety/structure: No chemicals.
action-hold-damp-sponge-and-repeatedly-squeeze-it	Hold damp sponge and repeatedly squeeze it	wet compression	sensory-intensity:1.00	punishment|Sensory-Control 100|42	Safety/structure: Clean sponge.
action-hold-eye-contact-during-correction	Hold eye contact during correction	psychological intensity — attention + vulnerability	protocol-obedience:1.00	punishment|Creative Pain 100|68	Safety/structure: Easy opt-out.
action-hold-eye-contact-while-being-corrected	Hold eye contact while being corrected	Psychological intensity	protocol-obedience:1.00	punishment|Creative Punishments|17	Easy to stop if it becomes emotionally overwhelming.
action-hold-peeled-grapes-and-gently-squash-them-by-hand	Hold peeled grapes and gently squash them by hand	Wet squish + residue	sensory-intensity:1.00	punishment|Nontraditional 100|43	Safety/structure: Food-safe, short duration.
action-hold-position-while-answering-questions	Hold position while answering questions	Divided attention	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|43	Questions should clarify, not interrogate.
action-horse-related-outing-content-splurge	Horse-related outing/content splurge	special-interest indulgence	choice-privilege:1.00	reward|Rewards 100|62	Could be tack shop browse, event, digital purchase, etc.
action-i-know-you-challenge	I-know-you challenge	Taylor predicts which reward will make Jackie happiest	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|60	He gets bragging rights if correct.
action-i-pick-where-i-sit-token	I-pick-where-I-sit token	Jackie chooses the cuddle/lap configuration	care-pampering:0.75;connection-attention:0.75	reward|Rewards Bonus|14	Very tailored.
action-i-planned-this-for-you-envelope	I-planned-this-for-you envelope	Taylor prepares a surprise plan from approved options	choice-privilege:0.75;playful-psychological:0.75	reward|Rewards Bonus|6	Can be bath, game, outing, massage, etc.
action-impact-after-a-waiting-period	Impact after a waiting period	anticipation — delay increases psychological weight	impact:1.00	punishment|Creative Pain 100|20	Safety/structure: Use a known maximum wait.
action-impact-followed-by-counted-breaths	Impact followed by counted breaths	after-sting — composure + ritual	impact:1.00	punishment|Creative Pain 100|18	Safety/structure: No breath restriction; just normal breathing.
action-impact-followed-by-immediate-return-to-posture	Impact followed by immediate return to posture	Composure requirement	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|42	Use only with already-negotiated impact play.
action-impact-only-after-correct-response	Impact only after correct response	sting — attention + accountability	impact:1.00	punishment|Creative Pain 100|19	Safety/structure: Questions should be simple, not interrogative.
action-impact-then-immediate-posture-reset	Impact then immediate posture reset	sting + composure challenge — obedience after pain	impact:1.00	punishment|Creative Pain 100|15	Safety/structure: Use moderate intensity.
action-impact-with-eye-contact	Impact with eye contact	sting — vulnerability + attention	impact:1.00	punishment|Creative Pain 100|16	Safety/structure: Easy opt-out if emotionally intense.
action-intentional-cuddle-hour	Intentional cuddle hour	focused physical connection	connection-attention:1.00	reward|Rewards 100|27	No chores/projects during the hour.
action-jackie-chooses-her-own-punishment-from-three	Jackie chooses her own punishment from three	Self-selection intensifies accountability	playful-psychological:1.00	punishment|Creative Punishments|31	Can create interesting psychological weight.
action-jackie-chooses-one-of-three-approved-options	Jackie chooses one of three approved options	self-selection — accountability + commitment	playful-psychological:1.00	punishment|Creative Pain 100|87	Safety/structure: No coercive 'bad choice' framing.
action-jackie-chooses-the-whole-night	Jackie chooses the whole night	agency as reward	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|94	Food/activity/movie within practical limits.
action-jackie-teaches-taylor-something-she-loves	Jackie teaches Taylor something she loves	competence + focused interest	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|100	Taylor actively participates.
action-jackpot-surprise-for-consistency	Jackpot surprise for consistency	unexpected recognition	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|72	Not tied to exact exchange rate.
action-kneel-then-stand-only-on-permission	Kneel then stand only on permission	pressure + anticipation — loss of choice	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|57	Safety/structure: Known max duration.
action-kneel-count-then-reflection	Kneel, count, then reflection	Ritual + discomfort + accountability	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|41	Useful as a contained start-to-finish ritual.
action-kneeling-hand-spanking	Kneeling + hand spanking	pressure + impact — strong ritual / discipline energy	accountability-structure:0.50;playful-psychological:0.75	punishment|Pain Batch 2|16	
action-kneeling-in-a-designated-posture	Kneeling in a designated posture	Ritual + stillness	sensory-intensity:1.00	punishment|Creative Punishments|3	Use a safe surface; avoid joint injury.
action-kneeling-posture-on-safe-surface	Kneeling posture on safe surface	pressure + stillness — ritual + submission	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|55	Safety/structure: Protect knees; no sharp surfaces.
action-kneeling-with-hands-placed-as-instructed	Kneeling with hands placed as instructed	pressure + posture — obedience + ritual	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|56	Safety/structure: Avoid painful shoulder positions.
action-lap-cuddle-while-jackie-uses-laptop	Lap cuddle while Jackie uses laptop	physical attachment + freedom to tinker	connection-attention:1.00	reward|Rewards 100|28	Best of both Jackie modes.
action-late-night-little-drive	Late-night little drive	Short music-filled drive together	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|27	Simple mini-adventure.
action-leather-strap-over-clothing	Leather strap over clothing	broad sting — sound + anticipation	impact:1.00	punishment|Creative Pain 100|3	Safety/structure: Use known safe impact zones.
action-leave-an-obvious-harmless-efficiency-improvement-unused	Leave an obvious harmless efficiency improvement unused	Visible missed optimization	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|95	Safety/structure: Known endpoint.
action-let-water-run-down-face-while-standing-still	Let water run down face while standing still	face/eye sensory discomfort + stillness	sensory-intensity:1.00	punishment|Sensory-Control 100|8	Safety/structure: No breath restriction; stop immediately if panicky.
action-lets-wander-reward	Let's-wander reward	Bookstore/Target/mall/etc. with no objective	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|28	No purchase required.
action-listen-to-a-corrective-recording-while-still-restraint-negotiated	Listen to a corrective recording while still/restraint-negotiated	Immersive + focused	playful-psychological:1.00	punishment|Creative Punishments|22	Pre-agree content; avoid shame/identity attacks.
action-listen-to-a-pre-agreed-corrective-recording-while-still	Listen to a pre-agreed corrective recording while still	immersive focus — voice + containment	playful-psychological:1.00	punishment|Creative Pain 100|93	Safety/structure: No identity attacks; immediate stop option.
action-lose-choice-of-movie-food-activity-for-the-evening	Lose choice of movie/food/activity for the evening	Behavioral consequence	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|46	Keep ordinary affection outside the reward economy.
action-lotion-massage	Lotion massage	care + sustained attention	care-pampering:1.00	reward|Rewards 100|7	Use tolerated products.
action-lotion-on-palms-with-delayed-permission-to-wipe	Lotion on palms with delayed permission to wipe	persistent residue	sensory-intensity:1.00	punishment|Sensory-Control 100|44	Safety/structure: Use tolerated lotion.
action-make-a-3-course-snack-plan	Make a 3-course snack plan	Pick appetizer/main/dessert snack equivalents — many tiny decisions	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|6	Safety/structure: Keep playful, not nutritionally restrictive.
action-make-a-simple-paper-fold-while-following-one-step-at-a-time-commands	Make a simple paper fold while following one-step-at-a-time commands	Precision + external pacing — controlled sequencing	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|61	Safety/structure: No cutting tools needed.
action-make-a-symmetrical-pattern-then-deliberately-remove-one-piece	Make a symmetrical pattern then deliberately remove one piece	Broken symmetry	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|38	Safety/structure: Use non-fragile pieces.
action-make-bed-except-one-wrinkled-corner	Make bed except one wrinkled corner	visible imperfection	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|86	Safety/structure: Not during sleep time.
action-make-one-recommendation-with-no-alternatives	Make one recommendation with no alternatives	Forbidden from giving a menu — forced decisiveness	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|21	Safety/structure: Use low-stakes prompts only.
action-make-the-bed-except-for-one-intentionally-wrinkled-corner	Make the bed except for one intentionally wrinkled corner	Unresolved visual imperfection	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|24	Safety/structure: Not during actual bedtime.
action-make-jackie-laugh-challenge	Make-Jackie-laugh challenge	Taylor's job is simply to entertain her	connection-attention:0.50;playful-psychological:1.00	reward|Rewards Bonus|76	Silly, relational reward.
action-make-something-together-reward	Make-something-together reward	Craft, recipe, LEGO, home project, etc.	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|37	Shared creation.
action-mash-ripe-banana-with-fingers	Mash ripe banana with fingers	Sticky + mushy	sensory-intensity:1.00	punishment|Nontraditional 100|46;punishment|Sensory-Control 100|39	Safety/structure: Food-safe and brief. | Safety/structure: Wash afterward.
action-massage-while-watching-jackies-chosen-show	Massage while watching Jackie's chosen show	care + choice + connection	care-pampering:1.00	reward|Rewards 100|16	No multitasking expectation for Jackie.
action-match-pairs-of-objects-and-leave-one-intentionally-unmatched	Match pairs of objects and leave one intentionally unmatched	Pairing asymmetry	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|33	Safety/structure: Small set.
action-mini-debate	Mini debate	Taylor deliberately takes the opposite side on a silly topic	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|43	Keep non-sensitive.
action-mini-living-room-date	Mini living-room date	novelty without leaving home	connection-attention:1.00	reward|Rewards 100|35	Taylor plans setup.
action-mini-peer-review	Mini peer review	Taylor gives a short argument; identify 2 strengths and 2 weaknesses — balanced critique	accountability-structure:1.00	punishment|Cognitive 100|40	Safety/structure: Use non-personal content.
action-mood-matched-music	Mood-matched music	Taylor makes/picks music for Jackie's current vibe	connection-attention:0.50;sensory-intensity:0.75	reward|Rewards Bonus|75	Thoughtful personalization.
action-morning-appreciation-message	Morning appreciation message	A specific thing Taylor appreciates sent in the morning	connection-attention:1.00	reward|Rewards Bonus|67	Tiny, emotionally meaningful.
action-move-items-one-at-a-time-instead-of-batching	Move items one at a time instead of batching	blocked optimization	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|68	Safety/structure: Light objects only.
action-move-one-object-at-a-time-when-several-could-be-carried	Move one object at a time when several could be carried	Inefficiency + pacing	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|64	Safety/structure: Use light objects.
action-movie-night-with-snacks-prepared	Movie night with snacks prepared	connection + care	connection-attention:1.00	reward|Rewards 100|26	Taylor handles setup.
action-must-ask-for-the-next-step-instead-of-receiving-the-whole-sequence	Must ask for the next step instead of receiving the whole sequence	Information gating	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|92	Safety/structure: Set max duration.
action-mystery-approved-implement	Mystery approved implement	varied — uncertainty without surprise limits	impact:1.00	punishment|Creative Pain 100|21	Safety/structure: Draw only from pre-consented options.
action-mystery-consequence-from-a-pre-approved-sensory-protocol-list	Mystery consequence from a pre-approved sensory/protocol list	uncertainty + surrendered choice	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|101	Safety/structure: Only already-consented options; no food/drink deprivation or domestic-service punishments.
action-mystery-drink-delivery	Mystery drink delivery	Taylor brings a drink he picked because he knows Jackie will like it	care-pampering:0.75;choice-privilege:0.50	reward|Rewards Bonus|2	High intentionality; low effort.
action-mystery-implement-from-approved-set	Mystery implement from approved set	uncertainty — ominous/fun without changing negotiated limits	playful-psychological:1.00	punishment|Pain Batch 2|27	
action-mystery-multiplier	Mystery multiplier	A normal success is randomly worth extra	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|49	Avoid making core habits feel worthless without multiplier.
action-mystery-punishment-from-a-pre-approved-pool	Mystery punishment from a pre-approved pool	Uncertainty	playful-psychological:1.00	punishment|Creative Punishments|29	Only draw from already-approved options.
action-mystery-punishment-from-approved-list	Mystery punishment from approved list	uncertainty — surrendered choice	playful-psychological:1.00	punishment|Creative Pain 100|85	Safety/structure: Only pre-consented options.
action-mystery-reward-envelope	Mystery reward envelope	anticipation + no need to choose	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|47	Pre-approved pool only.
action-mystery-takeout-from-favorites	Mystery takeout from favorites	Taylor chooses from already-liked places/items	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|25	No food surprises outside preferences.
action-mystery-tiny-date-card	Mystery tiny-date card	surprise experience	choice-privilege:1.00	reward|Rewards 100|66	Draw from pre-approved options.
action-neatly-label-ten-items-while-taylor-asks-harmless-rapid-fire-questions	Neatly label ten items while Taylor asks harmless rapid-fire questions	Distraction + precision — divided attention	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|58	Safety/structure: Can pause if overloaded.
action-new-game-dlc-budget-token	New game / DLC budget token	hobby indulgence	choice-privilege:1.00	reward|Rewards 100|63	Pre-agreed budget.
