Source Sheet	Source File	Source Row	Category	Idea	Description / Sensation	Mechanism / Why It Might Hit	Predicted Fit	Suggested Intensity (1-3)	Safety / Structure Note	Notes
Nontraditional 100	jackie_nontraditional_punishment_100.csv	80	Forced Slowness	Use a timer that requires waiting before correcting a harmless asymmetry		Forced endurance of wrongness	Very High		Short, agreed max.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	81	Forced Slowness	Receive instructions one sentence at a time instead of the whole plan		Information throttling	High		Use only for playful tasks.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	82	Optimization Denial	Follow an intentionally inefficient but harmless method		Systems-brain frustration	Very High		Never use for safety-critical or work tasks.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	83	Optimization Denial	No shortcuts allowed for a tiny task		Blocked optimization	High		Task should take only a few minutes.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	84	Optimization Denial	Use the 'wrong' but functional order for a simple routine		Predictability/control disruption	High		Keep routine non-essential.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	85	Optimization Denial	Use a paper list instead of preferred digital method for one tiny task		Tool preference denial	Medium-High		No important records.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	86	Optimization Denial	Sort alphabetically when another system would be faster		Arbitrary rule + inefficiency	High		Tiny dataset.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	87	Optimization Denial	Carry objects individually instead of batching		No batching allowed	High		Light objects only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	88	Optimization Denial	Complete a trivial task without preparing all materials first		Workflow inefficiency	High		No safety-sensitive tasks.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	89	Optimization Denial	Use an intentionally verbose five-step process for a one-step task		Procedural annoyance	Very High		Keep it absurd, short, and harmless.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	90	Optimization Denial	Taylor chooses the order of three tiny tasks		Loss of prioritization control	High		All tasks optional/non-essential.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	91	Optimization Denial	No reorganizing the instructions into a better system		Meta-optimization denial	Very High		Short-lived.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	92	Optimization Denial	Must ask for the next step instead of receiving the whole sequence		Information gating	High		Set max duration.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	93	Optimization Denial	Use a deliberately mediocre but safe tool for a tiny job		Tool inefficiency	Medium-High		No damaged/unsafe tools.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	94	Optimization Denial	Do not combine two compatible chores		Forced serial processing	High		Tiny tasks only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	95	Optimization Denial	Leave an obvious harmless efficiency improvement unused		Visible missed optimization	Very High		Known endpoint.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	96	Optimization Denial	Repeat the exact provided method even after spotting a better one		Submission vs systems instinct	Very High		Only playful, low-stakes tasks.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	97	Optimization Denial	Ask permission before making a harmless process improvement		Control over optimization	High		Short window.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	98	Optimization Denial	Follow a deliberately over-specific instruction set		Constraint + inefficiency	High		No trick instructions.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	99	Optimization Denial	Complete a small task with materials placed inconveniently apart		Extra steps	Medium-High		No trip hazards.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	100	Optimization Denial	Use only one container when two would make sorting easier		Artificial constraint	High		Tiny task.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	101	Optimization Denial	Watch Taylor perform a tiny task inefficiently without correcting him		Suppressed optimization impulse	Potentially Very High		Keep playful; no consequential task.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	2	Decision Burden	Pick dinner completely solo	Must choose restaurant/place, exact order, sides/drinks, and timing with no input	decision ownership + no delegation	Very High		Use only low-stakes choices; no allergy/medical constraints.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	3	Decision Burden	Plan the whole date	Choose destination, timing, food, activity, route, and backup plan	full decision burden	Very High		Budget and hard limits agreed beforehand.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	4	Decision Burden	Choose the movie and justify it	Pick one movie and give one reason; no 'whatever you want'	commitment + ownership	High		No reopening after selection unless practical issue arises.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	5	Decision Burden	Choose from 10 equally acceptable options	Must narrow a broad menu to one	choice overload	High		All options genuinely acceptable.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	6	Decision Burden	Make a 3-course snack plan	Pick appetizer/main/dessert snack equivalents	many tiny decisions	High		Keep playful, not nutritionally restrictive.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	7	Decision Burden	Choose Taylor's outfit from approved options	Own another person's harmless aesthetic decision	decision responsibility	High		Taylor pre-approves the available clothing.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	8	Decision Burden	Choose the route for an outing	Must pick route/parking plan without asking	uncertainty + ownership	Medium-High		Navigation safety overrides game.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	9	Decision Burden	Create the evening schedule	Assign times/order for dinner, game, bath, movie, etc.	planning burden	Very High		Keep flexible if real needs arise.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	10	Decision Burden	Pick the restaurant and order for both from pre-approved choices	No outsourcing the final call	decision finality	Very High		Taylor can veto for real preferences/allergies.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	11	Decision Burden	Choose one household task to deprioritize	Must explicitly let one thing wait	anti-completion + prioritization	High		Only nonessential chores.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	12	Decision Burden	Rank five fun activities from best to worst	Forced preference articulation	decision precision	High		No ties for the game.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	13	Decision Burden	Choose one reward and reject the other two for that night	Opportunity-cost discomfort	commitment + loss of alternatives	High		All are optional pleasures.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	14	Decision Burden	Choose a random topic category for your own assignment	You create the constraint that will bind you	self-imposed decision	Medium-High		Topic remains safe/low-stakes.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	15	Decision Burden	Pick one of three imperfect solutions	No option is ideal	tolerating tradeoffs	Very High		Use fictional or harmless scenarios.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	16	Decision Burden	Choose the exact takeout order under a time limit	Decision ownership + timer	time pressure + finality	Very High		Enough time to avoid panic; no food-needs interference.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	17	Decision Burden	Choose a gift concept for a fictional person	Must commit with incomplete info	ambiguity + decision burden	High		Fictional scenario only.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	18	Decision Burden	Choose which of three chores Taylor does and which you do	Must distribute labor explicitly	responsibility + fairness	High		Keep chores small and optional.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	19	Decision Burden	Pick a single color/theme for a tiny project	No palette hedging	commitment	Medium-High		Harmless creative task.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	20	Decision Burden	Choose the next weekend micro-outing	Must make the call without brainstorming endlessly	closure pressure	High		Can be a 30-minute outing.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	21	Decision Burden	Make one recommendation with no alternatives	Forbidden from giving a menu	forced decisiveness	Very High		Use low-stakes prompts only.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	22	Timed Competence	20-minute research brief	Research an unfamiliar harmless topic and produce 250 words	competence under time pressure	Very High		No sensitive/high-stakes topics.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	23	Timed Competence	10-minute lightning brief	Learn enough to explain a topic in 5 bullets	compression + timer	High		Use accessible source material.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	24	Timed Competence	Three-source synthesis	Read three short sources and identify consensus/disagreement	synthesis under constraint	Very High		Public, low-stakes subject.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	25	Timed Competence	Teach-it-to-me presentation	Research for 20 minutes, then give Taylor a 3-minute lesson	performance + evaluation	Very High		Questions should be curious, not gotcha.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	26	Timed Competence	One-slide presentation	Explain a topic using one slide / one screen only	compression + format discipline	High		No need for polished visuals.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	27	Timed Competence	Executive memo	Write Decision / Evidence / Risk / Next Step in 200 words	structured reasoning	Very High		Harmless hypothetical topic.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	28	Timed Competence	ELI5 challenge	Learn something technical, then explain it without jargon	translation skill + constraint	High		Taylor judges clarity, not perfection.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	29	Timed Competence	Defend the opposite	Make the strongest case for a harmless position you initially dislike	cognitive flexibility	High		Avoid personally sensitive beliefs.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	30	Timed Competence	Closed-book summary	Study for 10 minutes, close materials, summarize from memory	memory + performance	Medium-High		No shaming for forgetting.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	31	Timed Competence	Q&A after brief	Present a topic then answer 3 follow-up questions	uncertainty + scrutiny	High		No trick questions.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	32	Timed Competence	Unknown question round	Study a topic knowing Taylor will ask one surprise question	anticipation	High		Question stays within studied topic.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	33	Timed Competence	300-word hard cap	Research deeply but final response cannot exceed 300 words	compression frustration	Very High		Word count can be approximate.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	34	Timed Competence	Five-sentence hard cap	Explain something nuanced in exactly five sentences	constraint + external processing denial	Very High		Low-stakes topic.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	35	Timed Competence	60-second pitch	Explain why a harmless idea matters in one minute	speed + synthesis	High		No penalty for normal speech stumbles.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	36	Timed Competence	Comparison matrix	Compare A/B/C on exactly four criteria	structured analysis	High		Criteria chosen in advance.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	37	Timed Competence	Research roulette	Randomly draw topic + format + time limit	uncertainty + competence	High		All cards pre-approved.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	38	Timed Competence	Fact / inference / unknown brief	Research topic and separate each claim into those three buckets	epistemic discipline	Very High		Encourages precision, not shame.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	39	Timed Competence	Find the hidden assumption	Read a short scenario and identify the key unstated assumption	pattern recognition under timer	High		Fictional scenarios.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	40	Timed Competence	Mini peer review	Taylor gives a short argument; identify 2 strengths and 2 weaknesses	balanced critique	High		Use non-personal content.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	41	Timed Competence	Teach back from notes	Make notes, then hand them to Taylor and explain without looking	performance + delayed retrieval	High		Keep topic modest.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	42	Precision Under Constraint	Write lines while a metronome plays	Maintain neatness despite repetitive auditory distraction	attention control	High		Volume comfortable.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	43	Precision Under Constraint	Copy a short paragraph perfectly under a timer	Precision + time pressure	accuracy under countdown	High		Short enough to prevent hand strain.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	44	Precision Under Constraint	Sort cards by suit while answering simple questions	Divided attention	cognitive interference	High		Questions remain easy/non-emotional.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	45	Precision Under Constraint	Alphabetize ten items while music changes unpredictably	Focus under novelty	attention switching	Medium-High		Comfortable volume.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	46	Precision Under Constraint	Stack ten objects neatly with one hand	Precision + artificial constraint	motor frustration	High		Use unbreakable light objects.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	47	Precision Under Constraint	Write five neat sentences with non-dominant hand	Motor frustration + precision	reduced fluency	High		Short duration; no pain.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	48	Precision Under Constraint	Transfer small soft objects between cups with chopsticks	Fine-motor challenge	precision under mild frustration	High		No sharp/hot objects.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	49	Precision Under Constraint	Build a simple block pattern from a picture under time limit	Visual precision + timer	spatial performance	High		Large safe pieces.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	50	Precision Under Constraint	Count backward while folding towels	Cognitive interference	working-memory load	Medium-High		Simple numbers only.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	51	Precision Under Constraint	Spell a chosen sentence aloud while maintaining posture	Language + physical focus	dual-task demand	High		Posture mild and safe.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	52	Precision Under Constraint	Write on a vertical whiteboard	Unfamiliar motor position	novel precision constraint	Medium-High		Comfortable shoulder height.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	53	Precision Under Constraint	Write one line with an intentionally awkward but safe grip	Motor constraint	precision frustration	High		Hand-only grip variation; no mouth-held tools.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	54	Precision Under Constraint	Copy a pattern without rotating the paper	Spatial constraint	denied preferred adjustment	Medium		Simple pattern.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	55	Precision Under Constraint	Sort by two rules at once	Working-memory load	multi-constraint processing	High		Small dataset.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	56	Precision Under Constraint	Follow spoken instructions without seeing the full list	Information gating + precision	no preview / no optimization	Very High		Only harmless tasks.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	57	Precision Under Constraint	Complete a tiny block build using only the shown image	Spatial inference	no step-by-step support	High		Large enough pieces to be safe.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	58	Precision Under Constraint	Neatly label ten items while Taylor asks harmless rapid-fire questions	Distraction + precision	divided attention	High		Can pause if overloaded.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	59	Precision Under Constraint	Write exactly 50 words	Precision + stopping at boundary	hard output constraint	Very High		Harmless topic.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	60	Precision Under Constraint	Copy a paragraph with zero abbreviations	Forced exactness	suppresses shorthand	Medium-High		Keep short.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	61	Precision Under Constraint	Make a simple paper fold while following one-step-at-a-time commands	Precision + external pacing	controlled sequencing	High		No cutting tools needed.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	62	Optimization Denial	Use the provided inefficient method	Must follow a safe slower process even after spotting a better one	optimization denial	Very High		Tiny, harmless task only.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	63	Optimization Denial	No batching allowed	Move or process one item at a time	efficiency frustration	Very High		Light objects, short task.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	64	Optimization Denial	Ask for each next step	Cannot see the full workflow	information throttling	Very High		Set a max duration.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	65	Optimization Denial	One tool only	Complete a trivial task with one pre-approved tool	artificial constraint	High		Tool must be safe and suitable.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	66	Optimization Denial	No shortcuts	Follow every written step exactly	process submission	Very High		No pointless physical exertion.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	67	Optimization Denial	Taylor sets task order	Cannot reprioritize three tiny tasks	loss of sequencing control	Very High		All tasks nonessential.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	68	Optimization Denial	No parallel processing	Must finish one tiny task fully before touching the next	blocked concurrency	Very High		Short set.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	69	Optimization Denial	Stop at good enough	Taylor calls the artifact done before Jackie wants to polish	completion-control transfer	Very High		Only low-stakes artifact.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	70	Optimization Denial	No revision after submission	Once delivered, cannot immediately improve it	finality discomfort	Very High		Can discuss learnings later.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	71	Optimization Denial	Three questions maximum	Must choose the most valuable clarifying questions	constraint + requirements thinking	Very High		Harmless assignment.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	72	Optimization Denial	State assumptions before questions	Cannot instantly interrogate ambiguity	structured restraint	High		Low-stakes scenario.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	73	Optimization Denial	Use Taylor's naming convention	Must preserve a harmless scheme you would not choose	system-control surrender	High		Temporary artifact only.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	74	Optimization Denial	Follow a deliberately verbose checklist	Cannot collapse steps	procedural annoyance	Very High		Keep total task short.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	75	Optimization Denial	Use a fixed template	Cannot redesign the format	constraint + compliance	High		Template provided clearly.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	76	Optimization Denial	No reordering the list	Complete items exactly top-to-bottom	sequencing denial	High		All items equivalent/safe.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	77	Optimization Denial	Do not correct Taylor's harmless inefficient demonstration	Suppress the urge to optimize	suppressed correction impulse	Very High		No consequential tasks.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	78	Optimization Denial	Explain the better method but still use the assigned one	Awareness + denied implementation	optimization frustration	Very High		Makes the constraint explicit.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	79	Optimization Denial	Wait for approval gates	Stop after each mini-section until Taylor says continue	external pacing control	Very High		No unnecessary long waits.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	80	Optimization Denial	Use the first acceptable solution	Cannot keep searching for optimal	anti-perfectionism + finality	Very High		Low-stakes problem.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	81	Optimization Denial	Choose criteria before seeing options	Commit to evaluation framework first	limits post-hoc optimization	High		Fictional choice set.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	82	Presentation & Accountability	Formal 3-minute presentation to Taylor	Stand/sit in designated presentation spot and deliver the result	performance + authority framing	Very High		No humiliation; constructive tone.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	83	Presentation & Accountability	Presentation with visible timer	Must finish before time expires	time pressure	High		Reasonable time budget.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	84	Presentation & Accountability	Presentation with one interruption question	Must recover and continue	composure	High		Question stays relevant.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	85	Presentation & Accountability	Presentation then one-minute self-critique	Identify one strength and one improvement	metacognition	High		No self-insults.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	86	Presentation & Accountability	Taylor scores a pre-agreed rubric	Clarity, adherence, concision, etc.	evaluation + accountability	Very High		Rubric known in advance.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	87	Presentation & Accountability	Unknown emphasis rubric	Broad rubric known but Taylor chooses one category to discuss	uncertainty	High		No surprise personal criteria.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	88	Presentation & Accountability	Redo only the weakest section	Cannot rewrite everything	localized correction	High		Five-minute cap.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	89	Presentation & Accountability	Explain why you missed a requirement	Process diagnosis instead of immediate fixing	accountability	Very High		Focus on process, not blame.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	90	Presentation & Accountability	One recommendation + one risk	Forbidden from sprawling alternatives	decisiveness + compression	Very High		Low-stakes topic.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	91	Presentation & Accountability	Answer follow-up in exactly 30 seconds	Concise thinking	time-boxed synthesis	High		Simple prompt.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	92	Presentation & Accountability	Present without reading verbatim	Must synthesize rather than recite	performance + mastery	High		Notes allowed as prompts.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	93	Presentation & Accountability	Present from a single index card	Limited external memory	compression + retrieval	High		Short topic.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	94	Presentation & Accountability	Answer 'what matters most?' first	Must prioritize immediately	priority judgment under scrutiny	Very High		Taylor can ask why afterward.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	95	Presentation & Accountability	Give a confidence score with each conclusion	Forces uncertainty calibration	epistemic discipline	High		No punishment for low confidence.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	96	Presentation & Accountability	Separate fact from interpretation verbally	Must label what is known vs inferred	epistemic precision	Very High		Great for fictional scenarios.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	97	Presentation & Accountability	Explain it to three audiences	Child / peer / executive versions	flexibility + format switching	High		Short versions.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	98	Presentation & Accountability	Taylor chooses presentation format at the end	Late constraint	adaptability under lost control	High		Formats pre-approved.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	99	Presentation & Accountability	Defend your decision for two minutes without adding new options	Must commit instead of reopening	commitment + no hedging	Very High		Harmless decision only.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	100	Presentation & Accountability	Summarize your own overthinking	Identify where extra analysis added no value	self-audit	Very High		No shame language.	
Cognitive 100	jackie_cognitive_punishment_idea_bank_100.csv	101	Presentation & Accountability	Formal dismissal after acceptance	Taylor says the assignment is complete and Jackie may stop refining	closure + authority	Very High		Explicitly marks 'done' as resolved.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	2	Cold / Water Sensory	Cold shower, short bounded interval		whole-body cold + loss of preferred sensory control	Very High		Keep brief; stop for dizziness, numbness, breathing difficulty, or distress.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	3	Cold / Water Sensory	Cold shower with arms kept at sides		cold + reduced ability to shield body	Very High		No restraint; normal movement always allowed for safety.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	4	Cold / Water Sensory	Cold shower while counting slowly		cold + forced attention	Very High		Known count/end point.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	5	Cold / Water Sensory	Cold shower with visible timer		anticipation + sustained cold	Very High		Short, explicit maximum.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	6	Cold / Water Sensory	Cold shower followed by a required 30-second stillness before toweling		delayed sensory resolution	Very High		Warm room; stop if shivering becomes intense.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	7	Cold / Water Sensory	Shower spray over forehead/face for a few seconds		water-on-face aversion	Very High		Never obstruct breathing; eyes can close; brief only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	8	Cold / Water Sensory	Let water run down face while standing still		face/eye sensory discomfort + stillness	Very High		No breath restriction; stop immediately if panicky.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	9	Cold / Water Sensory	Face splash from cupped clean water		sudden wet-face sensation	High		Small amount only; no forced inhalation.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	10	Cold / Water Sensory	Wet washcloth laid briefly across cheeks/forehead		persistent facial wetness	High		Keep nose/mouth fully clear.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	11	Cold / Water Sensory	Hairline rinse with water allowed to run over face		loss of control over water path	High		Standing stable; no pressure over airway.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	12	Cold / Water Sensory	Wash face without immediately towel-drying		wet-face persistence	Very High		Short wait only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	13	Cold / Water Sensory	Cold damp cloth on back of neck		cold + localized wetness	Medium-High		Avoid if it causes headache/dizziness.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	14	Cold / Water Sensory	One forearm under cool running water while other stays dry		cold + asymmetry	High		Short and comfortable enough to remain safe.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	15	Cold / Water Sensory	Cool water over one leg only		temperature asymmetry	High		Non-slip setup.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	16	Cold / Water Sensory	Finish a normal warm shower with a brief cool rinse		pleasant-to-aversive contrast	Very High		No extreme temperatures.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	17	Cold / Water Sensory	Cool shower while Taylor controls when it returns warm		loss of sensory control + anticipation	Very High		Pre-agreed short max; Jackie can stop at any time.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	18	Cold / Water Sensory	Stand under shower spray without turning away for a short count		face/body water + obedience	Very High		Do not require face exposure if breathing feels affected.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	19	Cold / Water Sensory	Wet hair left dripping for a short period before towel		persistent wet-body sensation	High		Warm environment; protect floors.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	20	Cold / Water Sensory	Drip clean water down one side of face only		facial asymmetry + wetness	Very High		Small amounts, nose/mouth clear.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	21	Cold / Water Sensory	Cold wet hands placed briefly on shoulders/arms		unexpected cold + touch	High		No extreme cold or startling if unsafe.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	22	Asymmetry	One sock on, one sock off		persistent body asymmetry	Very High		Short bounded duration.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	23	Asymmetry	One sock smooth, the other slightly bunched		fabric mismatch + urge to fix	Very High		No constriction.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	24	Asymmetry	One sleeve up, one sleeve down		skin/clothing asymmetry	High		Comfortable fit.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	25	Asymmetry	One pant leg cuffed, one uncuffed		visual + tactile imbalance	High		No walking hazard.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	26	Asymmetry	Hair tucked behind one ear only		persistent asymmetry awareness	Medium-High		Easy reset after.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	27	Asymmetry	One hand gloved, one bare		texture/temperature mismatch	High		Loose breathable glove.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	28	Asymmetry	One shoe on, one shoe off while seated		foot asymmetry	Very High		Seated only.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	29	Asymmetry	One side of blanket tucked, other loose		uneven pressure	High		No breathing restriction.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	30	Asymmetry	One side of hair brushed, other left messy		visual/tactile incompleteness	High		No tangling.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	31	Asymmetry	One wrist wearing a soft band, other bare		one-sided awareness	Medium		Loose fit.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	32	Asymmetry	One side gets lotion, other stays dry		residue asymmetry	High		Skin-safe lotion.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	33	Asymmetry	Only one side receives agreed impact		physical imbalance + incompleteness	Very High		Conservative impact; asymmetry is the point.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	34	Asymmetry	Only one thigh gets agreed pinching/scratching		one-sided after-sensation	High		No skin damage.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	35	Asymmetry	One side of clothing aligned neatly, other deliberately crooked		persistent wrongness	High		No restrictive folds.	
Sensory-Control 100	jackie_sensory_control_punishment_100.csv	36	Asymmetry	One side of body gets a brief cool rinse, other remains warm		temperature asymmetry	High		Non-slip, short duration.	
