Catalog ID	Category ID	Kink	Category	Description	Typical Role	Primary Mode	Intensity	Risk Level	Master Interest	Master Giving	Master Receiving	pet Interest	pet Giving	pet Receiving	Hard Limit?	Scene Use	Discussed?	Notes	Research Source(s)	Source URL(s)	Catalog Status
protective-dominance	power-exchange-roles	Protective dominance	Power Exchange & Roles	Dominance expressed through guidance, caretaking, protection.	Giving	Psychological/Relational	Low-Moderate	Low													Original catalog
gentle-dominance	power-exchange-roles	Gentle dominance	Power Exchange & Roles	Dominance emphasizing warmth, praise, and soft control.	Giving	Psychological/Relational	Low	Low													Original catalog
soft-submission	power-exchange-roles	Soft submission	Power Exchange & Roles	Submission emphasizing affection, trust, and gentle surrender.	Receiving	Psychological/Relational	Low	Low													Original catalog
disciplined-submission	power-exchange-roles	Disciplined submission	Power Exchange & Roles	Submission emphasizing rules, accountability, correction.	Receiving	Psychological/Relational	Moderate	Low-Moderate													Original catalog
devotional-submission	power-exchange-roles	Devotional submission	Power Exchange & Roles	Submission framed around devotion, service, belonging, or reverence.	Receiving	Psychological/Relational	Variable	Low													Original catalog
worship-kink	power-exchange-roles	Worship kink	Power Exchange & Roles	Erotic or relational reverence directed at partner/body part.	Both	Psychological/Relational	Low-Moderate	Low													Original catalog
collaring	collars-symbols-marking	Collaring	Collars, Symbols & Marking	Wearing/giving a collar as symbol, gear, or relationship ritual.	Both	Physical/Psychological	Low	Low										Meaning varies.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/	Existing + sourced
day-collar	collars-symbols-marking	Day collar	Collars, Symbols & Marking	Subtle everyday collar-like jewelry with symbolic meaning.	Receiving	Physical/Psychological	Low	Low										Discreet symbolism.			Original catalog
play-collar	collars-symbols-marking	Play collar	Collars, Symbols & Marking	Collar used specifically for scenes or roleplay.	Receiving	Physical/Psychological	Low	Low										Avoid neck load.			Original catalog
leash-play	collars-symbols-marking	Leash play	Collars, Symbols & Marking	Using a leash for symbolic control, leading, or pet play.	Both	Physical/Psychological	Moderate	Moderate										Never use dangerous neck pressure.			Original catalog
harness-play	collars-symbols-marking	Harness play	Collars, Symbols & Marking	Wearing harnesses for aesthetic, control, or role purposes.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Fit/pressure points.			Original catalog
temporary-marking	collars-symbols-marking	Temporary marking	Collars, Symbols & Marking	Creating temporary visible marks as a consensual symbol.	Both	Physical/Psychological	Variable	Variable										Social implications.			Original catalog
hickeys-love-bites	collars-symbols-marking	Hickeys / love bites	Collars, Symbols & Marking	Suction/biting marks left on skin.	Both	Physical/Psychological	Moderate	Moderate										Placement/visibility matter.			Original catalog
bruise-marking	collars-symbols-marking	Bruise marking	Collars, Symbols & Marking	Enjoyment of consensual bruises from impact/pressure.	Both	Physical/Psychological	Moderate-High	Moderate-High										Tissue injury risk.			Original catalog
writing-on-skin	collars-symbols-marking	Writing on skin	Collars, Symbols & Marking	Using body-safe markers/ink for labels, messages, ownership symbols.	Both	Physical/Psychological	Low	Low										Skin-safe materials.			Original catalog
stamps-temporary-tattoos	collars-symbols-marking	Stamps / temporary tattoos	Collars, Symbols & Marking	Temporary symbols used for roleplay or marking.	Both	Physical/Psychological	Low	Low													Original catalog
body-writing	collars-symbols-marking	Body writing	Collars, Symbols & Marking	Words/phrases written on body as praise, degradation, ownership.	Both	Physical/Psychological	Low-Moderate	Low										Psychological meaning matters.			Original catalog
praise-kink	praise-degradation-humiliation	Praise kink	Praise, Degradation & Humiliation	Arousal or emotional reward from approval, compliments, or being called good.	Receiving	Psychological	Low	Low													Original catalog
good-girl-good-boy-praise	praise-degradation-humiliation	Good-girl / good-boy praise	Praise, Degradation & Humiliation	Specific praise language tied to obedience or performance.	Receiving	Psychological	Low	Low													Original catalog
competence-praise	praise-degradation-humiliation	Competence praise	Praise, Degradation & Humiliation	Praise focused on intelligence, skill, effort, or performance.	Receiving	Psychological	Low	Low													Original catalog
degradation	praise-degradation-humiliation	Degradation	Praise, Degradation & Humiliation	Consensual use of demeaning language or treatment as erotic play.	Both	Psychological	Moderate-High	Moderate-High										Psychological limits matter.			Original catalog
verbal-humiliation	praise-degradation-humiliation	Verbal humiliation	Praise, Degradation & Humiliation	Embarrassing or demeaning language within agreed boundaries.	Both	Psychological	Moderate-High	Moderate-High										Avoid unnegotiated identity wounds.			Original catalog
objectification	praise-degradation-humiliation	Objectification	Praise, Degradation & Humiliation	Treating someone as an object/thing within consensual roleplay.	Both	Psychological	Moderate	Moderate										Psychological intensity varies.			Original catalog
use-object-fantasy	praise-degradation-humiliation	Use-object fantasy	Praise, Degradation & Humiliation	Consensual fantasy of being used for another's pleasure/purpose.	Receiving	Psychological	High	High										Requires careful negotiation.			Original catalog
embarrassment-play	praise-degradation-humiliation	Embarrassment play	Praise, Degradation & Humiliation	Creating consensual awkwardness or embarrassment.	Both	Psychological	Moderate	Moderate										Avoid non-consenting bystanders.			Original catalog
private-humiliation	praise-degradation-humiliation	Private humiliation	Praise, Degradation & Humiliation	Humiliation kept within a private scene.	Receiving	Psychological	Moderate	Moderate													Original catalog
public-style-humiliation-fantasy	praise-degradation-humiliation	Public-style humiliation fantasy	Praise, Degradation & Humiliation	Fantasy of public embarrassment enacted privately/consenting spaces.	Receiving	Psychological	High	High										No non-consenting people.			Original catalog
small-task-humiliation	praise-degradation-humiliation	Small-task humiliation	Praise, Degradation & Humiliation	Silly, awkward, or intentionally undignified harmless tasks.	Receiving	Psychological	Low-Moderate	Low													Original catalog
formal-correction	praise-degradation-humiliation	Formal correction	Praise, Degradation & Humiliation	Being corrected in a ritualized, controlled manner.	Receiving	Psychological	Low-Moderate	Low													Original catalog
scolding	praise-degradation-humiliation	Scolding	Praise, Degradation & Humiliation	Consensual verbal reprimand as discipline or roleplay.	Both	Psychological	Moderate	Moderate										Tone matters.			Original catalog
lecture-disciplinary-talk	praise-degradation-humiliation	Lecture / disciplinary talk	Praise, Degradation & Humiliation	Structured verbal correction within a scene.	Receiving	Psychological	Moderate	Moderate										Avoid emotionally abusive content.			Original catalog
corner-time	praise-degradation-humiliation	Corner time	Praise, Degradation & Humiliation	Standing/sitting in designated place as corrective protocol.	Receiving	Psychological	Low-Moderate	Low										Bounded duration.			Original catalog
lines-writing-punishment	praise-degradation-humiliation	Lines / writing punishment	Praise, Degradation & Humiliation	Repeatedly writing a phrase/reflection as discipline.	Receiving	Psychological	Low	Low										Avoid hand strain.			Original catalog
name-calling	praise-degradation-humiliation	Name-calling	Praise, Degradation & Humiliation	Consensual use of agreed degrading or role-specific names.	Both	Psychological	Moderate	Moderate													Original catalog
mockery	praise-degradation-humiliation	Mockery	Praise, Degradation & Humiliation	Playful or harsh consensual teasing designed to embarrass.	Both	Psychological	Moderate	Moderate													Original catalog
performance-evaluation	praise-degradation-humiliation	Performance evaluation	Praise, Degradation & Humiliation	Master formally rates or critiques a harmless task/scene performance.	Both	Psychological	Moderate	Low-Moderate										Keep self-worth separate.			Original catalog
pet-play	pet-animal-roleplay	Pet play	Pet & Animal Roleplay	Adult takes on pet-like behavior/identity.	Both	Psychological/Roleplay	Low-Moderate	Low										Adult-only.			Original catalog
puppy-play	pet-animal-roleplay	Puppy play	Pet & Animal Roleplay	Canine-inspired pet roleplay.	Both	Psychological/Roleplay	Low-Moderate	Low													Original catalog
kitten-play	pet-animal-roleplay	Kitten play	Pet & Animal Roleplay	Feline-inspired pet roleplay.	Both	Psychological/Roleplay	Low-Moderate	Low													Original catalog
pony-play	pet-animal-roleplay	Pony play	Pet & Animal Roleplay	Equine-inspired roleplay involving training/tack aesthetics/performance.	Both	Psychological/Roleplay	Moderate	Moderate										Mobility/gear considerations.			Original catalog
bunny-play	pet-animal-roleplay	Bunny play	Pet & Animal Roleplay	Rabbit-inspired pet roleplay.	Both	Psychological/Roleplay	Low	Low													Original catalog
fox-play	pet-animal-roleplay	Fox play	Pet & Animal Roleplay	Fox-inspired pet roleplay.	Both	Psychological/Roleplay	Low	Low													Original catalog
pet-training	pet-animal-roleplay	Pet training	Pet & Animal Roleplay	Commands, tricks, positions, routines within pet play.	Both	Psychological/Roleplay	Moderate	Low-Moderate													Original catalog
pet-praise	pet-animal-roleplay	Pet praise	Pet & Animal Roleplay	Praise specifically framed around pet role.	Receiving	Psychological/Roleplay	Low	Low													Original catalog
pet-punishment	pet-animal-roleplay	Pet punishment	Pet & Animal Roleplay	Discipline framed within pet roleplay.	Receiving	Psychological/Roleplay	Variable	Variable													Original catalog
feeding-bowl-roleplay	pet-animal-roleplay	Feeding bowl roleplay	Pet & Animal Roleplay	Using pet-style bowls as roleplay/ritual.	Receiving	Psychological/Roleplay	Low	Low										Clean food-safe items.			Original catalog
leash-walking	pet-animal-roleplay	Leash walking	Pet & Animal Roleplay	Being led on leash in private/consenting contexts.	Receiving	Psychological/Roleplay	Moderate	Moderate										Avoid dangerous neck pressure.			Original catalog
crawling-all-fours-play	pet-animal-roleplay	Crawling / all-fours play	Pet & Animal Roleplay	Moving on hands/knees as pet or submissive roleplay.	Receiving	Psychological/Roleplay	Moderate	Moderate										Protect knees/wrists.			Original catalog
pet-bed-crate-roleplay	pet-animal-roleplay	Pet bed / crate roleplay	Pet & Animal Roleplay	Using pet furniture/crate symbolism for roleplay.	Receiving	Psychological/Roleplay	Moderate	Moderate										Ventilation/comfort.			Original catalog
tails-ears-gear	pet-animal-roleplay	Tails / ears gear	Pet & Animal Roleplay	Wearing animal-inspired accessories.	Receiving	Psychological/Roleplay	Low	Low													Original catalog
primal-play	primal-play	Primal play	Primal Play	Instinctive, less-scripted physical/psychological play.	Both	Physical/Psychological	Moderate-High	Moderate-High													Original catalog
primal-hunter	primal-play	Primal hunter	Primal Play	Pursuing, overpowering, or capturing in consensual primal play.	Giving	Physical/Psychological	High	High										Negotiate force/environment.			Original catalog
primal-prey	primal-play	Primal prey	Primal Play	Being pursued, caught, or overpowered in consensual primal play.	Receiving	Physical/Psychological	High	High										Negotiate force/escape rules.			Original catalog
chase-play	primal-play	Chase play	Primal Play	Consensual pursuit/chase within controlled environment.	Both	Physical/Psychological	High	High										Fall/environment risk.			Original catalog
wrestling	primal-play	Wrestling	Primal Play	Consensual grappling for dominance, play, or struggle.	Both	Physical/Psychological	High	High										Joint/neck/fall risk.			Original catalog
struggle-play	primal-play	Struggle play	Primal Play	Receiver resists physically within agreed boundaries.	Both	Physical/Psychological	High	High										Clear stop signals.			Original catalog
growling-animalistic-vocalization	primal-play	Growling / animalistic vocalization	Primal Play	Instinctive vocalization as part of primal play.	Both	Physical/Psychological	Low	Low													Original catalog
scenting	primal-play	Scenting	Primal Play	Smelling partner/body/gear as primal or fetish behavior.	Both	Physical/Psychological	Low	Low													Original catalog
biting-in-primal-play	primal-play	Biting in primal play	Primal Play	Biting framed as capture/claiming.	Both	Physical/Psychological	Moderate	Moderate										Skin injury considerations.			Original catalog
pinning	primal-play	Pinning	Primal Play	Holding someone down using body weight/control.	Giving	Physical/Psychological	High	High										Breathing/joint safety.			Original catalog
exhibitionism	exhibitionism-voyeurism	Exhibitionism	Exhibitionism & Voyeurism	Enjoyment of being seen in erotic/kinky contexts by consenting observers.	Receiving	Psychological	Moderate	Moderate										Consent/privacy/legal context.			Original catalog
voyeurism	exhibitionism-voyeurism	Voyeurism	Exhibitionism & Voyeurism	Enjoyment of watching consenting adults in erotic/kinky contexts.	Receiving	Psychological	Moderate	Moderate										All parties consent.			Original catalog
consensual-audience-play	exhibitionism-voyeurism	Consensual audience play	Exhibitionism & Voyeurism	Scene performed for invited consenting observers.	Both	Psychological	Moderate	Moderate										Privacy/recording rules.			Original catalog
mirror-play	exhibitionism-voyeurism	Mirror play	Exhibitionism & Voyeurism	Using mirrors to watch oneself/partner during a scene.	Both	Psychological	Low	Low													Original catalog
being-watched-by-partner	exhibitionism-voyeurism	Being watched by partner	Exhibitionism & Voyeurism	Enjoyment of performing or being observed by one's partner.	Receiving	Psychological	Low	Low													Original catalog
watching-partner-perform	exhibitionism-voyeurism	Watching partner perform	Exhibitionism & Voyeurism	Enjoyment of observing partner's consensual performance.	Receiving	Psychological	Low	Low													Original catalog
erotic-photography	exhibitionism-voyeurism	Erotic photography	Exhibitionism & Voyeurism	Consensual taking of intimate/kinky photos.	Both	Psychological	Moderate-High	High										Privacy/storage/deletion rules.			Original catalog
erotic-video-recording	exhibitionism-voyeurism	Erotic video recording	Exhibitionism & Voyeurism	Consensual recording of intimate/kinky video.	Both	Psychological	High	High										Significant privacy risk.			Original catalog
remote-camera-play	exhibitionism-voyeurism	Remote camera play	Exhibitionism & Voyeurism	Consensual live camera-based exhibitionism in trusted setting.	Both	Psychological	High	High										Privacy/platform risk.			Original catalog
public-risk-fantasy	exhibitionism-voyeurism	Public-risk fantasy	Exhibitionism & Voyeurism	Fantasy involving possibility of being seen without exposing bystanders.	Receiving	Psychological	Moderate-High	High										Keep actual bystanders out.			Original catalog
roleplay	roleplay-fantasy	Roleplay	Roleplay & Fantasy	Taking on fictional or situational roles for erotic/kinky play.	Both	Psychological/Roleplay	Variable	Low-Variable										Broad umbrella.			Original catalog
teacher-student-roleplay	roleplay-fantasy	Teacher/student roleplay	Roleplay & Fantasy	Adult roleplay using authority/learning dynamics.	Both	Psychological/Roleplay	Moderate	Low-Moderate										Adult participants only.			Original catalog
boss-employee-roleplay	roleplay-fantasy	Boss/employee roleplay	Roleplay & Fantasy	Adult workplace power-difference fantasy.	Both	Psychological/Roleplay	Moderate	Low-Moderate										Fantasy only.			Original catalog
doctor-patient-roleplay	roleplay-fantasy	Doctor/patient roleplay	Roleplay & Fantasy	Adult medical authority fantasy.	Both	Psychological/Roleplay	Moderate	Moderate										Fantasy, not treatment.			Original catalog
guard-prisoner-roleplay	roleplay-fantasy	Guard/prisoner roleplay	Roleplay & Fantasy	Confinement/authority fantasy.	Both	Psychological/Roleplay	High	High										Can overlap restraint/CNC.			Original catalog
interrogation-roleplay	roleplay-fantasy	Interrogation roleplay	Roleplay & Fantasy	Questioning/pressure/information-control fantasy.	Both	Psychological/Roleplay	High	High										Psychological intensity.			Original catalog
kidnap-fantasy	roleplay-fantasy	Kidnap fantasy	Roleplay & Fantasy	Consensual abduction/capture fantasy.	Both	Psychological/Roleplay	High	High										CNC-adjacent.			Original catalog
stranger-roleplay	roleplay-fantasy	Stranger roleplay	Roleplay & Fantasy	Partners act as if unfamiliar/meeting for first time.	Both	Psychological/Roleplay	Moderate	Low-Moderate											3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes	Existing + sourced
royalty-servant-roleplay	roleplay-fantasy	Royalty/servant roleplay	Roleplay & Fantasy	Status hierarchy fantasy.	Both	Psychological/Roleplay	Low-Moderate	Low													Original catalog
knight-captive-roleplay	roleplay-fantasy	Knight/captive roleplay	Roleplay & Fantasy	Fantasy capture/protection hierarchy.	Both	Psychological/Roleplay	Moderate	Moderate													Original catalog
villain-hero-roleplay	roleplay-fantasy	Villain/hero roleplay	Roleplay & Fantasy	Power conflict fantasy.	Both	Psychological/Roleplay	Moderate	Moderate													Original catalog
trainer-trainee-roleplay	roleplay-fantasy	Trainer/trainee roleplay	Roleplay & Fantasy	Skill/discipline authority fantasy.	Both	Psychological/Roleplay	Moderate	Low-Moderate													Original catalog
owner-property-roleplay	roleplay-fantasy	Owner/property roleplay	Roleplay & Fantasy	Symbolic ownership fantasy within scene.	Both	Psychological/Roleplay	Moderate	Moderate													Original catalog
ageplay	roleplay-fantasy	Ageplay	Roleplay & Fantasy	Adults roleplaying an age different from their own.	Both	Psychological/Roleplay	Moderate	Moderate										Adults only.			Original catalog
adult-baby-diaper-lover-abdl	roleplay-fantasy	Adult baby / diaper lover (ABDL)	Roleplay & Fantasy	Adult-only regression, caretaking, diaper, or related fetish/roleplay.	Both	Psychological/Roleplay	Moderate	Moderate										Adult-only.			Original catalog
historical-roleplay	roleplay-fantasy	Historical roleplay	Roleplay & Fantasy	Adult fantasy using historical setting/status dynamics.	Both	Psychological/Roleplay	Low-Moderate	Low													Original catalog
fantasy-creature-roleplay	roleplay-fantasy	Fantasy creature roleplay	Roleplay & Fantasy	Adult roleplay as vampires, demons, elves, monsters, etc.	Both	Psychological/Roleplay	Low-Moderate	Low													Original catalog
vampire-play	roleplay-fantasy	Vampire play	Roleplay & Fantasy	Adult fantasy involving biting, seduction, predation, vampire aesthetics.	Both	Psychological/Roleplay	Moderate	Moderate										Avoid blood exposure unless managed.			Original catalog
monster-fantasy	roleplay-fantasy	Monster fantasy	Roleplay & Fantasy	Fantasy of nonhuman/monster power dynamics enacted by adults.	Receiving	Psychological/Roleplay	Moderate	Low-Moderate										Roleplay only.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology	Existing + sourced
rescue-fantasy	roleplay-fantasy	Rescue fantasy	Roleplay & Fantasy	One partner rescues/protects the other in a scripted scenario.	Both	Psychological/Roleplay	Low-Moderate	Low													Original catalog
consensual-non-consent-cnc	psychological-cnc	Consensual non-consent (CNC)	Psychological & CNC	Pre-negotiated adult roleplay involving simulated non-consent.	Both	Psychological	High	High										Robust consent planning required.			Original catalog
resistance-play	psychological-cnc	Resistance play	Psychological & CNC	Pre-negotiated verbal or physical resistance while actual consent remains intact.	Both	Psychological	High	High										Clear stop signals.			Original catalog
fear-play	psychological-cnc	Fear play	Psychological & CNC	Using controlled fear/adrenaline as part of consensual play.	Both	Psychological	High	High										Strong psychological effects.			Original catalog
threat-fantasy	psychological-cnc	Threat fantasy	Psychological & CNC	Consensual use of fictionalized threats within clear boundaries.	Both	Psychological	High	High										Avoid real-world leverage.			Original catalog
anticipation-play	psychological-cnc	Anticipation play	Psychological & CNC	Building tension by delaying what will happen next.	Both	Psychological	Low-Moderate	Low													Original catalog
uncertainty-play	psychological-cnc	Uncertainty play	Psychological & CNC	Receiver does not know which pre-approved option will occur.	Receiving	Psychological	Moderate	Moderate										Only negotiated menu.			Original catalog
mindfuck	psychological-cnc	Mindfuck	Psychological & CNC	Expectation/uncertainty/perceived-risk psychological play.	Both	Psychological	High	High										Trust/debriefing important.			Original catalog
fake-out	psychological-cnc	Fake-out	Psychological & CNC	Receiver expects one pre-approved thing, then another safely occurs.	Giving	Psychological	Moderate	Moderate										Do not fake emergencies.			Original catalog
interrogation	psychological-cnc	Interrogation	Psychological & CNC	Pressure to answer questions/follow rules in negotiated scene.	Both	Psychological	Moderate-High	Moderate-High										Avoid coercing real secrets.			Original catalog
confession-play	psychological-cnc	Confession play	Psychological & CNC	Prompting harmless admissions or 'offenses' within roleplay.	Receiving	Psychological	Moderate	Moderate										Avoid real sensitive disclosures.			Original catalog
forced-choice-game	psychological-cnc	Forced-choice game	Psychological & CNC	Receiver chooses between pre-approved outcomes.	Receiving	Psychological	Moderate	Moderate										All choices genuinely acceptable.			Original catalog
decision-denial	psychological-cnc	Decision denial	Psychological & CNC	Master makes selected harmless decisions for receiver.	Receiving	Psychological	Low-Moderate	Low										Keep essential autonomy intact.			Original catalog
decision-burden	psychological-cnc	Decision burden	Psychological & CNC	Receiver is required to make choices they would rather delegate.	Receiving	Psychological	Low-Moderate	Low										Can be disciplinary.			Original catalog
information-control	psychological-cnc	Information control	Psychological & CNC	One partner controls how much of harmless plan is revealed.	Receiving	Psychological	Moderate	Moderate										No safety-critical info withheld.			Original catalog
waiting-delayed-permission	psychological-cnc	Waiting / delayed permission	Psychological & CNC	Receiver waits for cue before harmless action.	Receiving	Psychological	Low-Moderate	Low										Bounded.			Original catalog
capture-fantasy	psychological-cnc	Capture fantasy	Psychological & CNC	Consensual fantasy of being caught or captured.	Receiving	Psychological	High	High										CNC-adjacent.			Original catalog
ownership-language	psychological-cnc	Ownership language	Psychological & CNC	Using possessive phrases like 'mine' within consensual dynamics.	Both	Psychological	Low	Low											3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes	Existing + sourced
lingerie-fetish	clothing-gear-fetishwear	Lingerie fetish	Clothing, Gear & Fetishwear	Attraction to lingerie as clothing, aesthetic, or ritual.	Both	Aesthetic/Psychological	Low	Low													Original catalog
stockings-fetish	clothing-gear-fetishwear	Stockings fetish	Clothing, Gear & Fetishwear	Attraction to stockings/tights.	Both	Aesthetic/Psychological	Low	Low													Original catalog
pantyhose-fetish	clothing-gear-fetishwear	Pantyhose fetish	Clothing, Gear & Fetishwear	Attraction to pantyhose/tights material or look.	Both	Aesthetic/Psychological	Low	Low													Original catalog
uniform-fetish	clothing-gear-fetishwear	Uniform fetish	Clothing, Gear & Fetishwear	Attraction to uniforms or role-specific clothing.	Both	Aesthetic/Psychological	Low	Low													Original catalog
suit-fetish	clothing-gear-fetishwear	Suit fetish	Clothing, Gear & Fetishwear	Attraction to formal suits/businesswear.	Both	Aesthetic/Psychological	Low	Low													Original catalog
high-heels-fetish	clothing-gear-fetishwear	High heels fetish	Clothing, Gear & Fetishwear	Attraction to high heels or wearing them.	Both	Aesthetic/Psychological	Low-Moderate	Low-Moderate										Mobility/fall concerns.			Original catalog
boot-fetish	clothing-gear-fetishwear	Boot fetish	Clothing, Gear & Fetishwear	Attraction to boots.	Both	Aesthetic/Psychological	Low	Low													Original catalog
glove-fetish	clothing-gear-fetishwear	Glove fetish	Clothing, Gear & Fetishwear	Attraction to gloves/material-covered hands.	Both	Aesthetic/Psychological	Low	Low													Original catalog
corset-fetish	clothing-gear-fetishwear	Corset fetish	Clothing, Gear & Fetishwear	Attraction to corsets/tight-lacing aesthetics.	Both	Aesthetic/Psychological	Moderate	Moderate										Extreme tight-lacing can restrict breathing.			Original catalog
mask-fetish	clothing-gear-fetishwear	Mask fetish	Clothing, Gear & Fetishwear	Attraction to masks/hidden identity.	Both	Aesthetic/Psychological	Moderate	Moderate										Visibility/breathing.			Original catalog
hood-fetish	clothing-gear-fetishwear	Hood fetish	Clothing, Gear & Fetishwear	Attraction to bondage/fetish hoods.	Both	Aesthetic/Psychological	High	High										Breathing, heat, panic, visibility.			Original catalog
catsuit-bodysuit-fetish	clothing-gear-fetishwear	Catsuit / bodysuit fetish	Clothing, Gear & Fetishwear	Attraction to full-body fitted garments.	Both	Aesthetic/Psychological	Moderate	Moderate										Heat and mobility.			Original catalog
latex-catsuit	clothing-gear-fetishwear	Latex catsuit	Clothing, Gear & Fetishwear	Full-body latex fetishwear.	Both	Aesthetic/Psychological	Moderate	Moderate										Heat/allergy/dressing.			Original catalog
leather-gear	clothing-gear-fetishwear	Leather gear	Clothing, Gear & Fetishwear	Harnesses, pants, vests, other leather fetishwear.	Both	Aesthetic/Psychological	Low-Moderate	Low													Original catalog
crossdressing	clothing-gear-fetishwear	Crossdressing	Clothing, Gear & Fetishwear	Wearing clothing culturally associated with another gender expression.	Both	Aesthetic/Psychological	Low	Low										May be identity, aesthetic, or kink.			Original catalog
forced-feminization-fantasy	clothing-gear-fetishwear	Forced-feminization fantasy	Clothing, Gear & Fetishwear	Consensual adult roleplay involving imposed feminine presentation.	Both	Aesthetic/Psychological	Moderate-High	Moderate										Psychological limits matter.			Original catalog
forced-masculinization-fantasy	clothing-gear-fetishwear	Forced-masculinization fantasy	Clothing, Gear & Fetishwear	Consensual adult roleplay involving imposed masculine presentation.	Both	Aesthetic/Psychological	Moderate-High	Moderate										Psychological limits matter.			Original catalog
clothing-control	clothing-gear-fetishwear	Clothing control	Clothing, Gear & Fetishwear	One partner chooses/restricts selected clothing within agreed scope.	Both	Aesthetic/Psychological	Low-Moderate	Low										Practical needs exempt.			Original catalog
underwear-control	clothing-gear-fetishwear	Underwear control	Clothing, Gear & Fetishwear	Rules about underwear choice within power exchange.	Receiving	Aesthetic/Psychological	Low-Moderate	Low										Comfort/hygiene exempt.			Original catalog
nudity-control	clothing-gear-fetishwear	Nudity control	Clothing, Gear & Fetishwear	One partner controls nudity in private consensual settings.	Receiving	Aesthetic/Psychological	Moderate	Moderate										Privacy/temperature.			Original catalog
choker-fetish	clothing-gear-fetishwear	Choker fetish	Clothing, Gear & Fetishwear	Attraction to chokers/collar-like neckwear.	Both	Aesthetic/Psychological	Low	Low										Avoid tight pressure.			Original catalog
fishnet-fetish	clothing-gear-fetishwear	Fishnet fetish	Clothing, Gear & Fetishwear	Attraction to fishnet clothing/material.	Both	Aesthetic/Psychological	Low	Low													Original catalog
pvc-vinyl-fetish	clothing-gear-fetishwear	PVC / vinyl fetish	Clothing, Gear & Fetishwear	Attraction to shiny vinyl/PVC clothing or texture.	Both	Aesthetic/Psychological	Low	Low-Moderate										Heat/skin comfort.			Original catalog
denim-fetish	clothing-gear-fetishwear	Denim fetish	Clothing, Gear & Fetishwear	Attraction to denim clothing/texture.	Both	Aesthetic/Psychological	Low	Low													Original catalog
sportswear-fetish	clothing-gear-fetishwear	Sportswear fetish	Clothing, Gear & Fetishwear	Attraction to athletic clothing/uniforms.	Both	Aesthetic/Psychological	Low	Low											3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology	Existing + sourced
foot-fetish	body-part-sensory-fetishes	Foot fetish	Body-Part & Sensory Fetishes	Erotic attraction to feet.	Both	Aesthetic/Sensory	Low	Low													Original catalog
shoe-fetish	body-part-sensory-fetishes	Shoe fetish	Body-Part & Sensory Fetishes	Erotic attraction to footwear.	Both	Aesthetic/Sensory	Low	Low													Original catalog
leg-fetish	body-part-sensory-fetishes	Leg fetish	Body-Part & Sensory Fetishes	Erotic attraction to legs.	Both	Aesthetic/Sensory	Low	Low													Original catalog
thigh-fetish	body-part-sensory-fetishes	Thigh fetish	Body-Part & Sensory Fetishes	Erotic attraction to thighs.	Both	Aesthetic/Sensory	Low	Low													Original catalog
hand-fetish	body-part-sensory-fetishes	Hand fetish	Body-Part & Sensory Fetishes	Erotic attraction to hands/fingers.	Both	Aesthetic/Sensory	Low	Low													Original catalog
armpit-fetish	body-part-sensory-fetishes	Armpit fetish	Body-Part & Sensory Fetishes	Erotic attraction to armpits/scent/appearance.	Both	Aesthetic/Sensory	Low	Low													Original catalog
hair-fetish	body-part-sensory-fetishes	Hair fetish	Body-Part & Sensory Fetishes	Erotic attraction to hair, styling, texture, or handling.	Both	Aesthetic/Sensory	Low	Low													Original catalog
body-hair-fetish	body-part-sensory-fetishes	Body-hair fetish	Body-Part & Sensory Fetishes	Erotic attraction to body hair.	Both	Aesthetic/Sensory	Low	Low													Original catalog
muscle-fetish	body-part-sensory-fetishes	Muscle fetish	Body-Part & Sensory Fetishes	Erotic attraction to muscularity.	Both	Aesthetic/Sensory	Low	Low													Original catalog
belly-fetish	body-part-sensory-fetishes	Belly fetish	Body-Part & Sensory Fetishes	Erotic attraction to stomach/belly appearance or touch.	Both	Aesthetic/Sensory	Low	Low													Original catalog
breast-fetish	body-part-sensory-fetishes	Breast fetish	Body-Part & Sensory Fetishes	Strong erotic focus on breasts/chest.	Both	Aesthetic/Sensory	Low	Low													Original catalog
butt-fetish	body-part-sensory-fetishes	Butt fetish	Body-Part & Sensory Fetishes	Strong erotic focus on buttocks.	Both	Aesthetic/Sensory	Low	Low													Original catalog
