Kink	Category	Description	Risk Level	Notes	Research Source(s)	Source URL(s)
Flight-attendant / service-uniform fetish	Clothing, Gear & Fetishwear	Erotic attraction to polished service uniforms or structured presentation.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Costume / cosplay fetish	Clothing, Gear & Fetishwear	Erotic attraction to costumes, character dress, or identity transformation through clothing.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Ball gag	Protocol, Bondage & D/s Details	Mouth restraint using a ball-style gag.	Moderate	Communication backup and airway comfort matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Bit gag	Protocol, Bondage & D/s Details	Mouth restraint using a bar/bit-style gag.	Moderate	Jaw comfort and communication backup matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Ring gag	Protocol, Bondage & D/s Details	Open-mouth gag using a ring-style frame.	Moderate-High	Jaw strain and airway comfort matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Tape gag fantasy	Protocol, Bondage & D/s Details	Gagging aesthetic or roleplay using a tape-like mouth covering.	High	Do not obstruct breathing; descriptive catalog entry.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Medical / dental gag	Protocol, Bondage & D/s Details	Clinical-style mouth restraint used in medical roleplay or BDSM.	High	Specialty equipment and jaw/airway considerations.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Spreader bar	Protocol, Bondage & D/s Details	Rigid restraint device that keeps limbs separated.	Moderate-High	Joint and position monitoring.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Straitjacket restraint	Protocol, Bondage & D/s Details	Upper-body immobilization using a straitjacket-style restraint.	High	Advanced immobilization; monitoring and rapid release matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Wall / cross restraint	Protocol, Bondage & D/s Details	Restraining a person to a wall-mounted or cross-shaped restraint frame.	Moderate-High	Anchor integrity and circulation matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Encasement bondage	Protocol, Bondage & D/s Details	Extensive enclosure or restriction designed to minimize movement.	High	Heat, circulation, breathing, panic, and release access matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Verbal 'don't move' bondage	Protocol, Bondage & D/s Details	Obedience-based stillness where the receiver remains unrestrained but agrees not to move.	Low-Moderate	Safety movement always remains allowed.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Bathroom-permission protocol	Protocol, Bondage & D/s Details	Power-exchange rule where bathroom access is symbolically permission-based.	Moderate-High	Essential bodily needs must remain accessible; no harmful holding.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Hand-feeding	Protocol, Bondage & D/s Details	Being fed by a partner as service, caretaking, control, or pet-play ritual.	Low	Normal nutrition and hydration are never conditional.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Human furniture	Protocol, Bondage & D/s Details	Objectification roleplay where a consenting adult acts as furniture or a functional object.	Moderate	Positioning and duration matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Human auction / appraisal roleplay	Protocol, Bondage & D/s Details	Consensual adult roleplay involving being inspected, rated, or symbolically auctioned.	Moderate-High	Private/consenting spaces only; psychological limits matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Free-use fantasy	Protocol, Bondage & D/s Details	Pre-negotiated adult fantasy or arrangement centered on broad sexual availability within explicit boundaries.	High	CNC-adjacent; safewords and scope remain absolute.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Traffic-light check-in system	Protocol, Bondage & D/s Details	Green/yellow/red communication protocol used during scenes.	Low	Safety/communication tool rather than a kink by itself.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Scene negotiation kink	Protocol, Bondage & D/s Details	Enjoyment of the ritual, structure, or anticipation of detailed scene negotiation.	Low	Meta-kink / process interest.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
D/s contract ritual	Protocol, Bondage & D/s Details	Interest in written agreements, rules, or symbolic contracts within consensual power exchange.	Low-Moderate	Not legally binding; scope remains revocable.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Public / witnessed collaring ceremony	Protocol, Bondage & D/s Details	Collaring performed in front of consenting witnesses or community.	Low-Moderate	Privacy and social implications matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Erotic hypnosis / hypnokink	Psychological, Verbal & Emotional	Consensual trance, suggestion, or hypnotic framing used for erotic or psychological play.	High	Psychological specialty; consent and debriefing matter.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Mind-control roleplay	Psychological, Verbal & Emotional	Fantasy of irresistible influence, conditioning, or mental control enacted as consensual adult roleplay.	High	Fantasy only; real consent remains intact.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Brainwashing fantasy	Psychological, Verbal & Emotional	Consensual adult fantasy centered on identity conditioning, rewriting, or indoctrination themes.	High	Fantasy/roleplay; psychologically intense.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Corruption kink	Psychological, Verbal & Emotional	Adult consensual fantasy of leading someone from innocence/inexperience toward greater willingness or desire.	Moderate-High	Adult roleplay only; distinguish fantasy from real coercion.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Bimbofication	Psychological, Verbal & Emotional	Adult transformation fantasy involving exaggerated hyper-feminine presentation and simplified/intellectually submissive persona.	Moderate	Adult roleplay; identity boundaries matter.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Quiet domination	Psychological, Verbal & Emotional	Dominance expressed through calm authority, presence, tone, and subtle direction rather than overt intensity.	Low-Moderate		3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Language play / verbal kink	Psychological, Verbal & Emotional	Erotic focus on words, tone, phrasing, praise, teasing, commands, or narrative.	Low-Moderate	Broad umbrella.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Dirty talk	Psychological, Verbal & Emotional	Erotic verbal communication using explicitly sexual, commanding, praising, or degrading language.	Low-Moderate	Negotiate language limits.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Isolation fantasy	Psychological, Verbal & Emotional	Psychological fantasy centered on exclusivity, seclusion, or being cut off from distractions with a partner.	Moderate	Keep actual social isolation separate from consensual scene fantasy.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Psychological-control fantasy	Psychological, Verbal & Emotional	Consensual fantasy centered on influence, guidance, structure, and surrender of selected decisions.	Moderate	Scope must remain explicit and revocable.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Small-penis humiliation (SPH)	Psychological, Verbal & Emotional	Adult consensual humiliation kink focused on penis size or adequacy.	Moderate-High	Psychological limits and aftercare may matter.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Competence kink	Psychological, Verbal & Emotional	Erotic interest in intelligence, skill, expertise, authority-through-competence, or performing under scrutiny.	Low-Moderate		3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Pet-name kink	Psychological, Verbal & Emotional	Erotic or relational charge from specific names, titles, or affectionate/possessive labels.	Low		3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Jealousy play	Psychological, Verbal & Emotional	Consensual exploration of jealousy, rivalry, or possessive emotion within negotiated boundaries.	Moderate-High	Emotionally intense; debriefing can matter.	3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Romance / courtly-love kink	Psychological, Verbal & Emotional	Treating elaborate romance, devotion, ritual gestures, or being wooed as the central erotic/relational focus.	Low		3Fun; TBô 2026 list; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Photographer / model roleplay	Roleplay & Scenario Kinks	One adult directs another's poses or presentation as a photographer/model scenario.	Moderate	Privacy and recording boundaries matter if cameras are used.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Delivery-person roleplay	Roleplay & Scenario Kinks	Adult service-worker/recipient fantasy using a fictional delivery scenario.	Low-Moderate	Adult roleplay only.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Celebrity / fan roleplay	Roleplay & Scenario Kinks	Adult fantasy involving status, fame, admiration, or celebrity/fan power difference.	Low-Moderate	Roleplay with consenting adults.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Cheating fantasy	Roleplay & Scenario Kinks	Partners consensually roleplay infidelity or forbidden attraction without actual betrayal.	Moderate-High	Keep fantasy separate from real agreements.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Home-invasion fantasy	Roleplay & Scenario Kinks	Adult CNC-style fantasy of an intrusion or break-in scenario.	High	Fantasy/roleplay only; CNC-adjacent and psychologically intense.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Practical sex-ed roleplay	Roleplay & Scenario Kinks	Adult roleplay where one person teaches or demonstrates sexual knowledge to another.	Low-Moderate	Adult participants only.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Sleep play / consensual somnophilia	Roleplay & Scenario Kinks	Adult sleep-related fantasy or pre-negotiated play where consent is established while awake.	High	Consent must be negotiated while awake; CNC-adjacent.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Fake public-use fantasy	Roleplay & Scenario Kinks	Private or controlled roleplay that simulates public sexual availability without involving non-consenting bystanders.	High	Keep bystanders out of the scene.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Adult incest / taboo-family-role fantasy	Roleplay & Scenario Kinks	Consensual adult taboo roleplay using fictional family-role framing.	High	Adults only; fantasy/roleplay, not abuse.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Threesome	Group Dynamics & Consensual Non-Monogamy	Consensual sexual or erotic interaction among three adults.	Moderate	Communication, STI, and relationship boundaries.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Swinging - soft swap	Group Dynamics & Consensual Non-Monogamy	Couples engage with others while keeping some sexual activities exclusive to their primary partner.	Moderate	Definitions vary; agree on boundaries.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Swinging - full swap	Group Dynamics & Consensual Non-Monogamy	Couples consensually exchange partners for broader sexual activity.	Moderate-High	Communication, STI, and emotional boundaries.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Cuckolding	Group Dynamics & Consensual Non-Monogamy	Consensual dynamic where one partner is aroused by their partner being sexual with someone else, often with submission or humiliation themes.	Moderate-High	Role meanings vary; emotional boundaries matter.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Cuckqueaning	Group Dynamics & Consensual Non-Monogamy	Gender-reversed or woman-centered counterpart to cuckolding dynamics.	Moderate-High	Role meanings vary; emotional boundaries matter.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Stag / vixen dynamic	Group Dynamics & Consensual Non-Monogamy	Consensual sharing dynamic emphasizing pride, compersion, or a partner's desirability rather than humiliation.	Moderate	Relationship agreements matter.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Hotwifing	Group Dynamics & Consensual Non-Monogamy	Consensual dynamic in which a married/partnered woman has sexual experiences with others with partner knowledge/encouragement.	Moderate-High	Relationship agreements and STI boundaries.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Gangbang	Group Dynamics & Consensual Non-Monogamy	One consenting adult sexual participant with several consenting adult partners in the same encounter.	High	Complex consent, physical intensity, and STI considerations.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Orgy / sex-party interest	Group Dynamics & Consensual Non-Monogamy	Interest in consensual sexual environments involving multiple adults.	High	Venue rules, consent, STI, and privacy considerations.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Same-room sex	Group Dynamics & Consensual Non-Monogamy	Multiple couples or partners have sex in the same room while remaining with their own partners.	Moderate	All observers/participants must consent.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Group masturbation	Group Dynamics & Consensual Non-Monogamy	Multiple consenting adults masturbate together or in view of one another.	Moderate	Privacy and consent.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Guest-star / invited-third dynamic	Group Dynamics & Consensual Non-Monogamy	A couple consensually invites another adult while intentionally preserving the third person's autonomy and boundaries.	Moderate	Avoid treating a third person as a prop.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Open-relationship interest	Group Dynamics & Consensual Non-Monogamy	Interest in consensual non-monogamy where partners may form outside sexual or romantic connections.	Moderate	Relationship structure rather than a kink for everyone.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Non-monogamy / multi-partner interest	Group Dynamics & Consensual Non-Monogamy	Broad interest in consensual romantic or sexual connection involving more than two adults.	Moderate	Umbrella relationship orientation / interest.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Harem fantasy	Group Dynamics & Consensual Non-Monogamy	Fantasy of one person receiving attention from multiple consenting adult partners.	Moderate	Fantasy or consensual group dynamic.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Glory-hole fantasy	Group Dynamics & Consensual Non-Monogamy	Erotic interest in anonymous-seeming sexual contact through a barrier while identities/visibility are reduced.	High	Consent, STI, and venue/legal considerations.	3Fun; KinkSheet; Tumblr 400+ list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes
Transformation fantasy	Surreal, Transformation & Fictional Fantasy	Fantasy of bodily, identity, gender, species, or role transformation.	Low	Fictional/surreal.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Body-swap fantasy	Surreal, Transformation & Fictional Fantasy	Fantasy in which people exchange bodies or identities.	Low	Fictional/surreal.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Alien fantasy	Surreal, Transformation & Fictional Fantasy	Adult fantasy involving extraterrestrial or nonhuman partners/characters.	Low-Moderate	Fictional adult fantasy.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Tentacle fantasy	Surreal, Transformation & Fictional Fantasy	Adult fantasy involving fictional tentacles or nonhuman anatomy.	Moderate	Fictional adult fantasy.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Furry / anthropomorphic fantasy	Surreal, Transformation & Fictional Fantasy	Adult fantasy or attraction involving adult anthropomorphic characters.	Low-Moderate	Adult characters only.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Oviposition fantasy	Surreal, Transformation & Fictional Fantasy	Fictional adult fantasy involving egg-laying or eggs as a reproductive-surreal theme.	Moderate	Fantasy-only.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Vore fantasy	Surreal, Transformation & Fictional Fantasy	Fictional fantasy involving swallowing/being swallowed as a surreal size/predation theme.	Moderate-High	Fantasy-only; not real-world harm.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Alpha / beta / omega (Omegaverse) fantasy	Surreal, Transformation & Fictional Fantasy	Fiction-derived role and biological hierarchy fantasy often involving dominance, scent, heats, or bonding tropes.	Moderate	Adult fictional fantasy.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Knotting fantasy	Surreal, Transformation & Fictional Fantasy	Fictional adult fantasy involving nonhuman sexual anatomy associated with some fantasy/monster genres.	Moderate	Fictional adult fantasy.	KinkSheet; Tumblr 400+ list; TBô 2026 list	https://kinksheet.com/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Daily praise dynamic	Relational & Lifestyle Dynamics	Ongoing praise and affirmation used as a deliberate relational or D/s practice outside individual scenes.	Low-Moderate	Adult consensual relational dynamic.	3Fun; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Morning / night protocol	Relational & Lifestyle Dynamics	Repeated daily ritual, greeting, check-in, or task that reinforces a relationship dynamic.	Low-Moderate	Adult consensual relational dynamic.	3Fun; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Daily rules & tasks	Relational & Lifestyle Dynamics	Ongoing assignment and reporting of agreed daily rules or tasks within D/s.	Low-Moderate	Adult consensual relational dynamic.	3Fun; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Devotion & worship dynamic	Relational & Lifestyle Dynamics	Relational focus on reverence, adoration, service, or symbolic devotion to a partner.	Low-Moderate	Adult consensual relational dynamic.	3Fun; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
